timestamp,circulating_supply
2022-09-02,41933.33331729921
2022-09-03,17137.67721110231
2022-09-04,19354.11352935942
2022-09-05,26181.274990160804
2022-09-06,75992.159274583
2022-09-07,49845.537140078144
2022-09-08,44009.9106272355
2022-09-09,77579.28377569582
2022-09-10,34767.97775908064
2022-09-11,27477.37001435673
2022-09-12,56450.06178070867
2022-09-13,88640.21415729435
2022-09-14,52646.01660548155
2022-09-15,45324.40767912935
2022-09-16,47870.51497170776
2022-09-17,35986.62194812199
2022-09-18,32035.923082627618
2022-09-19,65967.01734993818
2022-09-20,59538.075644797784
2022-09-21,98083.83314589251
2022-09-22,94181.46235074173
2022-09-23,65386.07563631575
2022-09-24,29938.282799075692
2022-09-25,28944.558032083038
2022-09-26,97498.05982592652
2022-09-27,109498.57619619105
2022-09-28,92358.1413891031
2022-09-29,67769.02133620095
2022-09-30,73549.94285590737
2022-10-01,14812.685374206016
2022-10-02,25490.37178110152
2022-10-03,56358.82962202691
2022-10-04,63436.713411631004
2022-10-05,59299.03606564044
2022-10-06,75273.39775067719
2022-10-07,60300.165222515345
2022-10-08,17479.413513964442
2022-10-09,19867.186446021868
2022-10-10,44760.64471475107
2022-10-11,61567.70626220925
2022-10-12,38855.02387593743
2022-10-13,86164.14942481286
2022-10-14,75375.8189756965
2022-10-15,15241.873673551578
2022-10-16,15748.921475312314
2022-10-17,42535.62104223474
2022-10-18,60373.630286974476
2022-10-19,49324.937864106105
2022-10-20,65358.23273509022
2022-10-21,62191.243219905664
2022-10-22,16384.34105459462
2022-10-23,31041.785835300376
2022-10-24,63527.429731737415
2022-10-25,102160.80387839409
2022-10-26,118067.8577078428
2022-10-27,89333.84305809035
2022-10-28,77553.31683081803
2022-10-29,58580.576621538996
2022-10-30,38660.327369714476
2022-10-31,61515.50434450356
2022-11-01,48694.50902258613
2022-11-02,92371.0118975719
2022-11-03,54221.71053875224
2022-11-04,96339.96609599728
2022-11-05,33152.29950468439
2022-11-06,28069.998821171474
2022-11-07,73168.58538059884
2022-11-08,217101.34818789194
2022-11-09,266492.6522147254
2022-11-10,161456.29324013492
2022-11-11,103924.23782964441
2022-11-12,34728.737380692626
2022-11-13,35945.642456493864
2022-11-14,83428.43158827968
2022-11-15,76006.97190496672
2022-11-16,64574.936675466495
2022-11-17,38979.067170017646
2022-11-18,45164.72437499812
2022-11-19,16955.743989350096
2022-11-20,28971.685661638036
2022-11-21,81810.60767541509
2022-11-22,73128.68599385736
2022-11-23,65543.75530378554
2022-11-24,37672.82982386551
2022-11-25,34677.046027672084
2022-11-26,21058.44268587785
2022-11-27,18302.543622840934
2022-11-28,53542.079977121015
2022-11-29,50729.630665314
2022-11-30,85077.31584777145
2022-12-01,57629.033763599444
2022-12-02,45132.559369130046
2022-12-03,24818.31130409141
2022-12-04,29692.559107303987
2022-12-05,63528.892782627765
2022-12-06,47517.37594080011
2022-12-07,42188.71983121361
2022-12-08,48056.05147909964
2022-12-09,41593.694090273464
2022-12-10,17318.81845492986
2022-12-11,22218.879356507197
2022-12-12,42964.973765534334
2022-12-13,79177.24358548819
2022-12-14,85596.66729639348
2022-12-15,69143.89671995443
2022-12-16,90560.34132427767
2022-12-17,40801.12673839654
2022-12-18,25190.973310222817
2022-12-19,63881.85215769343
2022-12-20,77819.07891843854
2022-12-21,42284.380389426864
2022-12-22,48426.49682713082
2022-12-23,47019.862904230205
2022-12-24,17410.288118067416
2022-12-25,17579.70210112246
2022-12-26,20555.866586624434
2022-12-27,43169.632313086884
2022-12-28,54507.755924106146
2022-12-29,41035.51380474336
2022-12-30,53029.45091138451
2022-12-31,27644.41876778065
2023-01-01,20177.16893053816
2023-01-02,30195.439171257724
2023-01-03,37707.028236681595
2023-01-04,58805.71292030187
2023-01-05,31172.92220729151
2023-01-06,52144.09232180034
2023-01-07,11622.41430631309
2023-01-08,20983.518212109157
2023-01-09,74040.47608799799
2023-01-10,57203.289500207546
2023-01-11,62065.69129891849
2023-01-12,119523.45193962545
2023-01-13,91317.57995790699
2023-01-14,106131.703714998
2023-01-15,44269.979689581945
2023-01-16,66037.23979041877
2023-01-17,55921.68708353284
2023-01-18,83834.20673724893
2023-01-19,54127.66405625958
2023-01-20,79075.2862344661
2023-01-21,97078.98941593476
2023-01-22,62502.75403731193
2023-01-23,70778.71132502846
2023-01-24,79003.68381777381
2023-01-25,87176.42516305187
2023-01-26,64213.25315320209
2023-01-27,64977.05389173555
2023-01-28,20218.682700549085
2023-01-29,57124.80282609447
2023-01-30,74440.97061621296
2023-01-31,49475.85722512613
2023-02-01,49135.16244481789
2023-02-02,58739.43266867768
2023-02-03,41012.95555913012
2023-02-04,14356.279912223934
2023-02-05,27412.567042372993
2023-02-06,40342.64977391589
2023-02-07,36661.84405391527
2023-02-08,32494.148504886296
2023-02-09,74583.9787729479
2023-02-10,52654.387535671594
2023-02-11,16987.979402338013
2023-02-12,27599.975594466123
2023-02-13,58365.83791595009
2023-02-14,50505.98213976953
2023-02-15,67259.46059852352
2023-02-16,93290.79503229901
2023-02-17,82384.60162631398
2023-02-18,22325.80095761594
2023-02-19,44204.12049022688
2023-02-20,54026.88639223065
2023-02-21,69523.65256784114
2023-02-22,70612.11320581539
2023-02-23,68086.44405854368
2023-02-24,69462.89426635354
2023-02-25,24573.243616813732
2023-02-26,26840.184607822037
2023-02-27,45029.142282378554
2023-02-28,35197.83463361863
2023-03-01,45262.50266042939
2023-03-02,34663.355162070686
2023-03-03,59421.28937315639
2023-03-04,11825.685698219004
2023-03-05,20881.92942303432
2023-03-06,27111.281812020014
2023-03-07,38965.194388742355
2023-03-08,41804.44368465136
2023-03-09,77801.39097360494
2023-03-10,104118.39098299526
2023-03-11,68712.08445928902
2023-03-12,60954.8572831145
2023-03-13,90837.6474559117
2023-03-14,112427.0326490171
2023-03-15,74936.39320067076
2023-03-16,54808.91503056108
2023-03-17,93106.9218575139
2023-03-18,49510.28757786357
2023-03-19,47713.43244559882
2023-03-20,66122.95662826514
2023-03-21,45488.15878645286
2023-03-22,83391.6302275794
2023-03-23,62414.68518646567
2023-03-24,52993.72596889173
2023-03-25,22482.15802520148
2023-03-26,26240.113871826416
2023-03-27,46273.97169528782
2023-03-28,36586.62677253202
2023-03-29,49263.00961323473
2023-03-30,59448.35027073138
2023-03-31,44912.08879170293
2023-04-01,15699.073052346646
2023-04-02,16367.194820108665
2023-04-03,47789.981789374964
2023-04-04,32335.47407605361
2023-04-05,38052.17153476607
2023-04-06,26046.279048007218
2023-04-07,14580.641572554945
2023-04-08,9280.883108028102
2023-04-09,16205.879261542064
2023-04-10,40843.64567748244
2023-04-11,46991.3361529389
2023-04-12,36608.56608871394
2023-04-13,31812.66872633828
2023-04-14,48911.634858130295
2023-04-15,13627.987888152154
2023-04-16,17293.919905337214
2023-04-17,35233.693878084676
2023-04-18,36031.28128313604
2023-04-19,55531.47422499064
2023-04-20,41792.62732126149
2023-04-21,44302.052383298294
2023-04-22,17239.068572607546
2023-04-23,18268.778010171452
2023-04-24,34160.024409422214
2023-04-25,30951.9960350529
2023-04-26,80134.35072305347
2023-04-27,62766.53167758448
2023-04-28,35115.10350548859
2023-04-29,11350.649405494474
2023-04-30,23460.050598543414
2023-05-01,44384.96732910192
2023-05-02,32322.575587129333
2023-05-03,39617.399476613755
2023-05-04,27685.054016321086
2023-05-05,35163.45741155815
2023-05-06,24655.966592707708
2023-05-07,16821.14244031301
2023-05-08,40894.02437388918
2023-05-09,22929.49313390325
2023-05-10,42065.54854168107
2023-05-11,29725.751629950337
2023-05-12,41908.70282227574
2023-05-13,12532.162666001714
2023-05-14,11869.709580698247
2023-05-15,28114.29868705308
2023-05-16,24014.977620681915
2023-05-17,28762.810344443835
2023-05-18,27932.198929214923
2023-05-19,16459.17432113899
2023-05-20,7340.028826035619
2023-05-21,12064.929594915677
2023-05-22,17660.792561644957
2023-05-23,21253.18250485772
2023-05-24,32032.618846189933
2023-05-25,22824.1845336574
2023-05-26,20307.78750809328
2023-05-27,7390.6459195038515
2023-05-28,19366.045972639367
2023-05-29,21774.67653617251
2023-05-30,23708.655098478317
2023-05-31,28292.683194116715
2023-06-01,24056.185150227037
2023-06-02,23601.32350426441
2023-06-03,8116.648133745472
2023-06-04,9172.022496759475
2023-06-05,37805.11327225699
2023-06-06,36957.04480615732
2023-06-07,30988.304747331105
2023-06-08,15149.683108699695
2023-06-09,16610.606532066195
2023-06-10,31295.704010801284
2023-06-11,13149.182554810432
2023-06-12,17030.592781340278
2023-06-13,23120.41702013272
2023-06-14,27225.33049189019
2023-06-15,32227.647734293252
2023-06-16,27169.989981994328
2023-06-17,12507.970249822429
2023-06-18,9439.77826866125
2023-06-19,17797.17756553234
2023-06-20,44687.823250886766
2023-06-21,57001.458355930146
2023-06-22,34592.84468873953
2023-06-23,41160.77657342897
2023-06-24,13069.72253815282
2023-06-25,13466.85679032764
2023-06-26,21686.355765130116
2023-06-27,22255.051035296947
2023-06-28,19200.70718344088
2023-06-29,21483.78827523215
2023-06-30,47215.53839118166
2023-07-01,7245.136870741362
2023-07-02,8636.81265485344
2023-07-03,19479.81795904011
2023-07-04,13369.914310567976
2023-07-05,15874.985049045883
2023-07-06,31500.07284577561
2023-07-07,19272.294633651945
2023-07-08,6345.678611464313
2023-07-09,7163.193995722451
2023-07-10,22175.201152228852
2023-07-11,17606.283110901564
2023-07-12,24870.785669480094
2023-07-13,41748.7951332739
2023-07-14,33681.61886302141
2023-07-15,4929.101131576038
2023-07-16,7423.011793440727
2023-07-17,18533.83867481677
2023-07-18,18778.556821488495
2023-07-19,14921.66270881659
2023-07-20,19364.569353641324
2023-07-21,13235.973805357546
2023-07-22,6125.354395751019
2023-07-23,8121.094342557655
2023-07-24,25514.46336216941
2023-07-25,12130.782754289496
2023-07-26,16575.01456149926
2023-07-27,12775.72291453107
2023-07-28,11698.918321632427
2023-07-29,4983.725810286266
2023-07-30,7657.809893611863
2023-07-31,14588.98040912756
2023-08-01,27691.605860522683
2023-08-02,28742.984090147715
2023-08-03,15434.18019449752
2023-08-04,12923.808179304924
2023-08-05,4132.524688867669
2023-08-06,4361.655244273254
2023-08-07,16282.434102547584
2023-08-08,26428.59011619217
2023-08-09,18019.427524489733
2023-08-10,12747.775321206604
2023-08-11,10543.881016788444
2023-08-12,3495.2243900482304
2023-08-13,3940.1324991334136
2023-08-14,12326.82160458523
2023-08-15,10250.735340265048
2023-08-16,16693.581775297185
2023-08-17,52367.55451456966
2023-08-18,34092.15527747163
2023-08-19,10160.998147594633
2023-08-20,7341.123197616283
2023-08-21,16459.50828326223
2023-08-22,19754.770380228707
2023-08-23,25450.90286991002
2023-08-24,17166.42303244412
2023-08-25,18780.760064088958
2023-08-26,3576.45036072179
2023-08-27,4136.4121209659
2023-08-28,11604.3690071248
2023-08-29,39280.78847665288
2023-08-30,19051.061969038372
2023-08-31,28579.62834706324
2023-09-01,24795.61287060362
2023-09-02,7008.10390528116
2023-09-03,6181.467664201003
2023-09-04,8849.252565826782
2023-09-05,10864.71285138148
2023-09-06,15145.677907991354
2023-09-07,18726.18352697056
2023-09-08,18620.262321221995
2023-09-09,4090.2791484110417
2023-09-10,8422.463573313433
2023-09-11,24630.93090252561
2023-09-12,36288.65899132906
2023-09-13,18888.493330471196
2023-09-14,24479.010871851075
2023-09-15,17263.732660063768
2023-09-16,7064.735482494157
